1930,France,4,Mexico,1,France
1930,USA,3,Belgium,0,USA
1930,Yugoslavia,2,Brazil,1,Yugoslavia
1930,Romania,3,Peru,1,Romania
1930,Argentina,1,France,0,Argentina
1930,Chile,3,Mexico,0,Chile
1930,Yugoslavia,4,Bolivia,0,Yugoslavia
1930,USA,3,Paraguay,0,USA
1930,Uruguay,1,Peru,0,Uruguay
1930,Chile,1,France,0,Chile
1930,Argentina,6,Mexico,3,Argentina
1930,Brazil,4,Bolivia,0,Brazil
1930,Paraguay,1,Belgium,0,Paraguay
1930,Uruguay,4,Romania,0,Uruguay
1930,Argentina,3,Chile,1,Argentina
1930,Argentina,6,USA,1,Argentina
1930,Uruguay,6,Yugoslavia,1,Uruguay
1930,Uruguay,4,Argentina,2,Uruguay
1934,Austria,3,France,2,Austria
1934,Hungary,4,Egypt,2,Hungary
1934,Switzerland,3,Netherlands,2,Switzerland
1934,Sweden,3,Argentina,2,Sweden
1934,Germany,5,Belgium,2,Germany
1934,Spain,3,Brazil,1,Spain
1934,Italy,7,USA,1,Italy
1934,Czechoslovakia,2,Romania,1,Czechoslovakia
1934,Czechoslovakia,3,Switzerland,2,Czechoslovakia
1934,Germany,2,Sweden,1,Germany
1934,Italy,1,Spain,1,Tie
1934,Austria,2,Hungary,1,Austria
1934,Italy,1,Spain,0,Italy
1934,Italy,1,Austria,0,Italy
1934,Czechoslovakia,3,Germany,1,Czechoslovakia
1934,Germany,3,Austria,2,Germany
1934,Italy,2,Czechoslovakia,1,Italy
1938,Switzerland,1,Germany,1,Tie
1938,Hungary,6,Dutch East Indies,0,Hungary
1938,France,3,Belgium,1,France
1938,Cuba,3,Romania,3,Tie
1938,Italy,2,Norway,1,Italy
1938,Brazil,6,Poland,5,Brazil
1938,Czechoslovakia,3,Netherlands,0,Czechoslovakia
1938,Cuba,2,Romania,1,Cuba
1938,Switzerland,4,Germany,2,Switzerland
1938,Brazil,1,Czechoslovakia,1,Tie
1938,Hungary,2,Switzerland,0,Hungary
1938,Sweden,8,Cuba,0,Sweden
1938,Italy,3,France,1,Italy
1938,Brazil,2,Czechoslovakia,1,Brazil
1938,Hungary,5,Sweden,1,Hungary
1938,Italy,2,Brazil,1,Italy
1938,Brazil,4,Sweden,2,Brazil
1938,Italy,4,Hungary,2,Italy
1950,Brazil,4,Mexico,0,Brazil
1950,England,2,Chile,0,England
1950,Spain,3,USA,1,Spain
1950,Sweden,3,Italy,2,Sweden
1950,Yugoslavia,3,Switzerland,0,Yugoslavia
1950,Brazil,2,Switzerland,2,Tie
1950,Yugoslavia,4,Mexico,1,Yugoslavia
1950,Spain,2,Chile,0,Spain
1950,Sweden,2,Paraguay,2,Tie
1950,USA,1,England,0,USA
1950,Brazil,2,Yugoslavia,0,Brazil
1950,Spain,1,England,0,Spain
1950,Italy,2,Paraguay,0,Italy
1950,Uruguay,8,Bolivia,0,Uruguay
1950,Switzerland,2,Mexico,1,Switzerland
1950,Chile,5,USA,2,Chile
1950,Uruguay,2,Spain,2,Tie
1950,Brazil,7,Sweden,1,Brazil
1950,Brazil,6,Spain,1,Brazil
1950,Uruguay,3,Sweden,2,Uruguay
1950,Sweden,3,Spain,1,Sweden
1950,Uruguay,2,Brazil,1,Uruguay
1954,Uruguay,2,Czechoslovakia,0,Uruguay
1954,Austria,1,Scotland,0,Austria
1954,Brazil,5,Mexico,0,Brazil
1954,Yugoslavia,1,France,0,Yugoslavia
1954,Germany FR,4,Turkey,1,Germany FR
1954,Hungary,9,Korea Republic,0,Hungary
1954,England,4,Belgium,4,Tie
1954,Switzerland,2,Italy,1,Switzerland
1954,Uruguay,7,Scotland,0,Uruguay
1954,Austria,5,Czechoslovakia,0,Austria
1954,France,3,Mexico,2,France
1954,Brazil,1,Yugoslavia,1,Tie
1954,Hungary,8,Germany FR,3,Hungary
1954,Turkey,7,Korea Republic,0,Turkey
1954,England,2,Switzerland,0,England
1954,Italy,4,Belgium,1,Italy
1954,Germany FR,7,Turkey,2,Germany FR
1954,Switzerland,4,Italy,1,Switzerland
1954,Uruguay,4,England,2,Uruguay
1954,Austria,7,Switzerland,5,Austria
1954,Germany FR,2,Yugoslavia,0,Germany FR
1954,Hungary,4,Brazil,2,Hungary
1954,Germany FR,6,Austria,1,Germany FR
1954,Hungary,4,Uruguay,2,Hungary
1954,Austria,3,Uruguay,1,Austria
1954,Germany FR,3,Hungary,2,Germany FR
